,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
76,2016p303279_3,141,274,133,-8.274304965,-7.801543796,0.472761169,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113
77,2016p303279_4,24,68,44,-16.66275,-16.46457353,0.198176471,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113
78,2016p303279_5,7,0,-7,-19.417,NA,NA,2016p303279,5,22.19772911,3.052875824,249104.1541,6.235,4/22/2016 5:08,113
79,2016p316432_1,2,5,3,-14.489,-13.2868,1.2022,2016p316432,1,93.63026428,3.333907955,146386.9101,20.316,4/27/2016 1:57,118
80,2016p316432_2,86,192,106,-18.72537209,-16.66582813,2.059543968,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118
81,2016p316432_3,265,252,-13,-10.95144151,-8.401095238,2.550346271,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118
82,2016p316432_4,63,129,66,-15.0455873,-8.726968992,6.318618309,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118
83,2016p316432_5,1,3,2,-19.6,-18.28933333,1.310666667,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118
84,2016p336534_1,57,63,6,-14.6644386,-11.79419048,2.87024812,NA,NA,NA,NA,NA,NA,NA,NA
85,2016p336534_2,101,110,9,-8.724811881,-15.03604545,-6.311233573,2016p336534,2,194.5833435,3.106123037,45093.0577,12.171,5/4/2016 12:26,125
86,2016p336534_3,100,62,-38,-3.18089,-8.931177419,-5.750287419,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125
87,2016p336534_4,107,86,-21,-6.724551402,-5.536848837,1.187702565,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125
88,2016p336534_5,42,28,-14,-14.39880952,-13.32260714,1.076202381,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125
89,2016p337803_1,207,95,-112,-9.376922705,-11.94376842,-2.566845716,NA,NA,NA,NA,NA,NA,NA,NA
90,2016p337803_2,104,281,177,-12.88025962,-5.145640569,7.734619046,2016p337803,2,21.90081215,3.053528429,116851.966,17.545,5/4/2016 23:42,125
91,2016p337803_3,216,43,-173,-5.963444444,-9.986093023,-4.022648579,2016p337803,3,21.90081215,3.053528429,65221.68039,32.155,5/4/2016 23:42,125
92,2016p337803_4,160,206,46,-8.26555625,-8.502660194,-0.237103944,2016p337803,4,21.90081215,3.053528429,127715.8336,16.731,5/4/2016 23:42,125
93,2016p337803_5,136,56,-80,-11.09407353,-13.381,-2.286926471,NA,NA,NA,NA,NA,NA,NA,NA
94,2016p361097_1,336,249,-87,-10.481,-11.43539759,-0.95439759,NA,NA,NA,NA,NA,NA,NA,NA
95,2016p361097_2,66,92,26,-12.08048485,-9.952130435,2.128354414,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134
96,2016p361097_3,172,149,-23,-9.933354651,-8.725261745,1.208092906,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134
97,2016p361097_4,7,69,62,-9.634571429,-10.96633333,-1.331761905,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134
98,2016p361097_5,52,17,-35,-17.39675,-13.56182353,3.834926471,NA,NA,NA,NA,NA,NA,NA,NA
99,2016p389145_1,52,22,-30,-8.341557692,-4.741636364,3.599921329,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144
100,2016p389145_2,66,19,-47,-19.55712121,-16.49231579,3.064805423,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144
101,2016p389145_3,122,13,-109,-5.795811475,-3.457846154,2.337965322,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144
102,2016p389145_4,81,12,-69,-15.12353086,-8.945583333,6.177947531,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144
103,2016p389145_5,19,15,-4,-9.630210526,-17.19646667,-7.56625614,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144
104,2016p397820_1,213,73,-140,-13.39201408,-11.94315068,1.4488634,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148
105,2016p397820_2,148,134,-14,-14.83786486,-15.42424627,-0.586381404,NA,NA,NA,NA,NA,NA,NA,NA
106,2016p397820_3,49,171,122,-18.4515102,-17.16492398,1.286586227,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148
107,2016p397820_4,98,245,147,-12.36841837,-15.53161633,-3.163197959,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148
108,2016p397820_5,280,88,-192,-17.5195,-16.90168182,0.617818182,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148
109,2016p418574_1,1,18,17,-19.172,-13.89572222,5.276277778,NA,NA,NA,NA,NA,NA,NA,NA
110,2016p418574_2,7,17,10,-25.11457143,-15.69970588,9.414865546,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155
111,2016p418574_3,9,18,9,-23.09177778,-15.32466667,7.767111111,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155
112,2016p418574_4,37,36,-1,-17.3722973,-10.8845,6.487797297,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155
113,2016p418574_5,14,17,3,-20.90585714,-13.77447059,7.131386555,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155
114,2016p427491_1,33,115,82,-11.32545455,-11.93025217,-0.604797628,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159
115,2016p427491_2,34,124,90,-15.45297059,-18.11642742,-2.663456831,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159
