X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
116,2016p361097_5,1.175670901,1.167397481,-0.00827342,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2016p389145_1,1.175648141,1.174537329,-0.001110811,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144,-21.706
118,2016p389145_2,1.108190767,1.156940381,0.048749614,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144,-13.503
119,2016p389145_3,1.046310965,1.166626456,0.12031549,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144,-8.831
120,2016p389145_4,1.223928514,1.265454052,0.041525538,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144,-8.645
121,2016p389145_5,1.158253125,1.161807334,0.00355421,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144,-20.954
122,2016p397820_1,1.165730002,1.175226762,0.00949676,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148,-31.388
123,2016p397820_2,0.986317346,0.968980532,-0.017336814,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2016p397820_3,1.147889459,1.031633318,-0.116256141,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148,-20.693
125,2016p397820_4,1.150767732,1.102774546,-0.047993186,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148,-22.6
126,2016p397820_5,1.225257541,1.206884083,-0.018373458,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148,-30.977
127,2016p418574_1,1.173807963,1.178731831,0.004923868,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2016p418574_2,1.230121639,1.223302291,-0.006819348,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155,-30.14
129,2016p418574_3,0.954260522,1.19759889,0.243338369,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155,-20.831
130,2016p418574_4,1.261925433,1.272198297,0.010272864,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155,-24.177
131,2016p418574_5,1.197377327,1.210424616,0.013047289,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155,-34.505
132,2016p427491_1,1.040325327,1.063267223,0.022941896,2016p427491,1,85.86700439,3.678503189,136465.2936,22.361,6/7/2016 4:08,159,-18.192
133,2016p427491_2,1.008619216,1.080414375,0.07179516,2016p427491,2,85.86700439,3.678503189,8029.151108,30.702,6/7/2016 4:08,159,-9.851
134,2016p427491_3,0.972558038,1.006704271,0.034146233,2016p427491,3,85.86700439,3.678503189,44431.60903,32.215,6/7/2016 4:08,159,-8.338
135,2016p427491_4,1.04137093,1.164167823,0.122796893,2016p427491,4,85.86700439,3.678503189,82829.07216,28.822,6/7/2016 4:08,159,-11.731
136,2016p427491_5,1.14993185,1.119102906,-0.030828944,2016p427491,5,85.86700439,3.678503189,180048.4805,15.227,6/7/2016 4:08,159,-25.326
137,2016p438469_1,1.162618048,1.142963016,-0.019655032,2016p438469,1,13.45981407,3.292279163,172786.9681,10.657,6/11/2016 5:37,163,-29.896
138,2016p438469_2,1.169599921,1.127455307,-0.042144614,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163,-20.281
139,2016p438469_3,1.120833225,1.086432379,-0.034400846,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163,-11.537
140,2016p438469_4,1.158638352,1.160007862,0.00136951,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163,-25.737
141,2016p438469_5,1.139090032,1.077532822,-0.06155721,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2016p445360_1,1.058915563,1.10073252,0.041816956,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165,-30.198
143,2016p445360_2,1.100983894,1.058085355,-0.04289854,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165,-26.132
144,2016p445360_3,1.015797471,1.109757795,0.093960324,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165,-24.24
145,2016p445360_4,1.073363691,1.030530583,-0.042833108,NA,NA,NA,NA,NA,NA,NA,NA,NA
