,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY
117,2016p438469_2,100,34,-66,-16.20757,-9.596735294,6.610834706,2016p438469,2,13.45981407,3.292279163,48546.81839,20.272,6/11/2016 5:36,163
118,2016p438469_3,46,30,-16,-14.20293478,-7.427366667,6.775568116,2016p438469,3,13.45981407,3.292279163,52630.28857,29.016,6/11/2016 5:36,163
119,2016p438469_4,53,55,2,-11.63292453,-11.18661818,0.446306346,2016p438469,4,13.45981407,3.292279163,123160.7474,14.816,6/11/2016 5:37,163
120,2016p445360_1,2,3,1,-13.9875,-13.53566667,0.451833333,2016p445360,1,5,3.401255055,180865.3087,10.355,6/13/2016 18:48,165
121,2016p445360_2,48,27,-21,-17.14295833,-13.58637037,3.556587963,2016p445360,2,5,3.401255055,172697.5883,14.421,6/13/2016 18:48,165
122,2016p445360_3,38,21,-17,-18.57671053,-15.748,2.828710526,2016p445360,3,5,3.401255055,215127.0432,16.313,6/13/2016 18:48,165
123,2016p445360_4,18,1,-17,-10.84794444,5.525,16.37294444,NA,NA,NA,NA,NA,NA,NA,NA
124,2016p452435_1,2,19,17,-14.622,-14.71005263,-0.088052632,2016p452435,1,16.12910271,3.431327528,198273.4196,11.672,6/16/2016 9:38,168
125,2016p452435_2,82,99,17,-21.22589024,-19.66051515,1.565375092,2016p452435,2,16.12910271,3.431327528,77569.36961,26.254,6/16/2016 9:38,168
126,2016p452435_3,3,3,0,-12.38866667,-13.72533333,-1.336666667,2016p452435,3,16.12910271,3.431327528,73730.85789,39.604,6/16/2016 9:38,168
127,2016p452435_4,76,126,50,-12.59067105,-11.48871429,1.101956767,2016p452435,4,16.12910271,3.431327528,150519.7315,22.354,6/16/2016 9:38,168
128,2016p452435_5,45,88,43,-16.28006667,-15.78678409,0.493282576,2016p452435,5,16.12910271,3.431327528,253750.7341,8.918,6/16/2016 9:38,168
129,2016p470092_2,1,100,99,-28.073,-14.2959,13.7771,2016p470092,2,25.71006966,3.001803294,61977.22876,23.294,6/22/2016 22:25,174
130,2016p470092_3,7,105,98,-26.549,-16.09149524,10.45750476,2016p470092,3,25.71006966,3.001803294,84574.70713,32.528,6/22/2016 22:25,174
131,2016p470092_4,31,178,147,-18.5943871,-5.703033708,12.89135339,2016p470092,4,25.71006966,3.001803294,146007.5838,21.138,6/22/2016 22:25,174
132,2016p470092_5,3,50,47,-20.92566667,-17.56576,3.359906667,2016p470092,5,25.71006966,3.001803294,240603.1912,9.332,6/22/2016 22:26,174
133,2016p484154_1,113,7,-106,-14.52654867,-19.92642857,-5.399879899,2016p484154,1,64.13944244,3.472038397,181555.77,19.959,6/28/2016 3:18,180
134,2016p484154_2,114,5,-109,-12.42177193,-16.0328,-3.61102807,2016p484154,2,64.13944244,3.472038397,53002.43272,28.477,6/28/2016 3:17,180
135,2016p484154_3,35,1,-34,-11.59134286,-7.815,3.776342857,2016p484154,3,64.13944244,3.472038397,16297.21611,40.553,6/28/2016 3:17,180
136,2016p484154_4,59,22,-37,-8.433288136,-11.74190909,-3.308620955,2016p484154,4,64.13944244,3.472038397,97944.87676,30.824,6/28/2016 3:17,180
137,2016p484154_5,35,19,-16,-19.54785714,-19.135,0.412857143,2016p484154,5,64.13944244,3.472038397,205496.1992,17.642,6/28/2016 3:18,180
