X,publicid_channel,SI_B,SI_A,delta_SI,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS
113,2016p361097_2,1.068144009,1.071503477,0.003359468,2016p361097,2,11.22273731,3.035207333,131001.6224,15.918,5/13/2016 14:33,134,-24.635
114,2016p361097_3,1.082493768,1.069598442,-0.012895326,2016p361097,3,11.22273731,3.035207333,163163.4538,14.418,5/13/2016 14:33,134,-26.135
115,2016p361097_4,1.146430393,1.14811626,0.001685867,2016p361097,4,11.22273731,3.035207333,215922.312,9.657,5/13/2016 14:33,134,-30.896
116,2016p361097_5,1.171534191,1.171744684,0.000210493,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,2016p389145_1,1.175092735,1.17745471,0.002361975,2016p389145,1,75.84237671,3.230236853,159012.1864,18.847,5/23/2016 23:37,144,-21.706
118,2016p389145_2,1.132565574,1.036251852,-0.096313722,2016p389145,2,75.84237671,3.230236853,48252.37984,27.05,5/23/2016 23:37,144,-13.503
119,2016p389145_3,1.106468711,1.028224425,-0.078244285,2016p389145,3,75.84237671,3.230236853,25861.94252,31.722,5/23/2016 23:36,144,-8.831
120,2016p389145_4,1.244691283,1.18055071,-0.064140572,2016p389145,4,75.84237671,3.230236853,57216.03138,31.908,5/23/2016 23:37,144,-8.645
121,2016p389145_5,1.16003023,1.202324087,0.042293858,2016p389145,5,75.84237671,3.230236853,165101.2966,19.599,5/23/2016 23:37,144,-20.954
122,2016p397820_1,1.170478382,1.156204217,-0.014274164,2016p397820,1,135.8382874,3.421201313,249864.9647,9.165,5/27/2016 4:39,148,-31.388
123,2016p397820_2,0.977648939,1.039813951,0.062165013,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,2016p397820_3,1.089761388,1.118543771,0.028782383,2016p397820,3,135.8382874,3.421201313,164071.1261,19.86,5/27/2016 4:39,148,-20.693
125,2016p397820_4,1.126771139,1.206406635,0.079635497,2016p397820,4,135.8382874,3.421201313,116319.9556,17.953,5/27/2016 4:39,148,-22.6
126,2016p397820_5,1.216070812,1.207446844,-0.008623967,2016p397820,5,135.8382874,3.421201313,144110.2255,9.576,5/27/2016 4:39,148,-30.977
127,2016p418574_1,1.176269897,1.177776472,0.001506574,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,2016p418574_2,1.226711965,1.05820411,-0.168507855,2016p418574,2,189.222641,3.42426739,47563.18009,10.413,6/3/2016 20:57,155,-30.14
129,2016p418574_3,1.075929706,1.076537667,0.000607961,2016p418574,3,189.222641,3.42426739,97148.75627,19.722,6/3/2016 20:57,155,-20.831
130,2016p418574_4,1.267061865,1.248237924,-0.018823941,2016p418574,4,189.222641,3.42426739,92944.89633,16.376,6/3/2016 20:57,155,-24.177
131,2016p418574_5,1.203900971,1.129371318,-0.074529653,2016p418574,5,189.222641,3.42426739,159016.6728,6.048,6/3/2016 20:57,155,-34.505
