X,publicid_channel,ncalls_B,ncalls_A,delta_ncalls,energy_B,energy_A,delta_energy,publicid,Channel,depth,magnitude,DistOrigin,Energy,Datetime,DOY,Energy_dBFS,energy_B_dBFS,energy_A_dBFS,delta_energy_dBFS
56,2016p300395_4,38,14,-24,-15.38423684,-17.53892857,-2.154691729,2016p300395,4,199.8073578,3.025388765,209368.406,10.765,4/21/2016 3:31,112,-29.788,-55.93723684,-58.09192857,-2.15469173
57,2016p303279_2,50,26,-24,-19.33482,-22.14365385,-2.808833846,2016p303279,2,22.19772911,3.052875824,84064.48867,16.186,4/22/2016 5:08,113,-24.367,-59.88782,-62.69665385,-2.80883385
58,2016p303279_3,92,92,0,-8.562326087,-10.55768478,-1.995358696,2016p303279,3,22.19772911,3.052875824,122475.5753,19.984,4/22/2016 5:08,113,-20.569,-49.11532609,-51.11068478,-1.995358693
59,2016p303279_4,13,13,0,-18.37061538,-18.18661538,0.184,2016p303279,4,22.19772911,3.052875824,168073.7581,11.594,4/22/2016 5:08,113,-28.959,-58.92361538,-58.73961538,0.184
60,2016p316432_2,40,94,54,-19.9354,-16.40847872,3.526921277,2016p316432,2,93.63026428,3.333907955,27610.69922,21.699,4/27/2016 1:57,118,-18.854,-60.4884,-56.96147872,3.52692128
61,2016p316432_3,102,121,19,-11.75559804,-7.814504132,3.941093907,2016p316432,3,93.63026428,3.333907955,58510.52381,26.861,4/27/2016 1:57,118,-13.692,-52.30859804,-48.36750413,3.941093908
62,2016p316432_4,28,68,40,-15.30192857,-11.04732353,4.254605042,2016p316432,4,93.63026428,3.333907955,111409.2048,18.758,4/27/2016 1:57,118,-21.795,-55.85492857,-51.60032353,4.25460504
63,2016p316432_5,1,1,0,-19.6,-18.477,1.123,2016p316432,5,93.63026428,3.333907955,206862.1918,8.263,4/27/2016 1:57,118,-32.29,-60.153,-59.03,1.123
64,2016p336534_1,4,15,11,-12.46275,-12.6982,-0.23545,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.01575,-53.2512,-0.23545
65,2016p336534_3,3,48,45,-10.48066667,-8.038895833,2.441770833,2016p336534,3,194.5833435,3.106123037,87084.76612,22.862,5/4/2016 12:26,125,-17.691,-51.03366667,-48.59189583,2.441770837
66,2016p336534_4,3,8,5,2.396666667,-0.99225,-3.388916667,2016p336534,4,194.5833435,3.106123037,71914.11266,17.774,5/4/2016 12:26,125,-22.779,-38.15633333,-41.54525,-3.388916667
67,2016p336534_5,6,6,0,-13.641,-14.50533333,-0.864333333,2016p336534,5,194.5833435,3.106123037,142799.391,6.383,5/4/2016 12:26,125,-34.17,-54.194,-55.05833333,-0.86433333
